UserName,a.1.2,a.1.3,a.3.1,a.3.2,a.3.3,a.3.4,a.3.6,b.1.2,b.1.4,b.3.1,b.6.1,c.2.10,c.2.2,c.2.3,c.2.4,c.2.7,c.2.8,c.2.9,c.3.1,c.3.2,c.4.1,c.4.2,c.4.3,c.4.4,c.5.1,d.1.1,d.1.2,d.4.1,d.5.1,d.5.2,d.5.3,d.5.4,e.1.1,e.1.2,f.2.1,f.4.1,f.6.1,f.6.2,g.1.2,g.2.1,g.2.2,g.2.3,g.3.2,g.4.4,g.4.5,h.2.1,h.2.2,h.2.3,h.2.4,i.2.3,i.3.3,i.3.6,j.1.1,j.2.1,j.2.2,j.2.3,j.5.1,j.5.4,j.5.5,j.6.3,j.6.4
Christopher Hall,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,1.0,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,1.0,0.833333333,1.0,1.0,,,0.333333333,,0.666666667,,,,,,,,,,,,,
Conrad Moore,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,0.666666667,0.666666667,0.666666667,0.666666667,,,0.166666667,,0.166666667,,,,,,,,,,,,,
David Carne,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,,,,,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,0.666666667,0.666666667,0.666666667,0.666666667,0.5,0.5,,0.333333333,,0.333333333,,0.833333333,,,,,,,,,,1.0,
Ed Steele,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,0.5,0.5,0.5,0.5,,,0.166666667,,0.166666667,1.0,,,,,,,,,,,,
Jan Crowe,0.833333333,0.833333333,1.0,1.0,1.0,1.0,1.0,1.0,,,,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,0.5,1.0,0.5,0.833333333,,,0.833333333,0.833333333,0.833333333,0.833333333,,,,,,,,,,,,
Johnny Glenn,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,,,,,,,0.833333333,0.666666667,0.5,0.666666667,0.833333333,,,0.5,,0.666666667,,,,,,,,,,,,,
Kathleen Niche,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,0.666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,0.833333333,0.833333333,0.833333333,1.0,,,0.166666667,,0.833333333,,,,,,,,,,,,,
Kathryn Lester,0.666666667,0.666666667,1.0,1.0,1.0,1.0,1.0,,,1.0,,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.5,,0.666666667,0.666666667,0.666666667,0.833333333,0.666666667,0.833333333,0.333333333,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,,,0.833333333,0.833333333,0.833333333,0.833333333,1.0,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,,0.166666667,,0.666666667,,0.666666667,,0.833333333,,,0.166666667,0.666666667,,,,1.0,0.833333333
Liz Hopper,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0.833333333,1.0,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,1.0,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,,,,,,,0.833333333,0.666666667,0.666666667,0.666666667,0.833333333,,1.0,0.5,0.666666667,0.833333333,,,,,,,,,,,,,
Magali Persi,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,0.5,,1.0,1.0,1.0,1.0,1.0,1.0,0.666666667,0.666666667,1.0,1.0,1.0,1.0,,,,,,,0.5,0.333333333,0.333333333,0.333333333,0.666666667,,,0.0,,0.0,,,,,,,,,,,,,
Marilyn Gallo,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,1.0,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.666666667,0.666666667,0.666666667,0.666666667,1.0,0.833333333,0.833333333,0.833333333,1.0,,,0.166666667,,0.666666667,,,,,,,,,0.833333333,0.833333333,0.833333333,,
Martin Payne,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,1.0,0.166666667,,,0.0,,0.0,,,,,,,,,,,,,
Rachna Kaplan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,1.0,0.833333333,1.0,0.333333333,,,0.166666667,,0.333333333,,,,,,,,,,,,,
Sean Wall,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.666666667,0.666666667,,,,,0.0,0.333333333,0.333333333,0.333333333,0.5,,1.0,0.5,0.5,0.5,0.5,,,,1.0,,,,1.0,1.0,1.0,,
Shawn Wills,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,1.0,,0.5,1.0,0.166666667,0.166666667,0.333333333,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,1.0,1.0,,1.0,1.0,,,0.0,,0.0,,,,,,,,,,,,,
Simon Farmer,0.833333333,0.833333333,1.0,1.0,1.0,1.0,1.0,,0.666666667,0.833333333,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.666666667,,0.666666667,0.666666667,0.666666667,0.666666667,0.5,1.0,0.333333333,0.333333333,0.833333333,0.333333333,0.333333333,0.333333333,0.833333333,0.833333333,1.0,1.0,1.0,1.0,1.0,0.833333333,0.833333333,0.833333333,1.0,1.0,,0.5,0.5,0.666666667,0.5,0.5,,0.833333333,,0.666666667,0.666666667,1.0,,,,1.0,0.666666667
Tariq Haines,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.666666667,1.0,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,0.5,,0.5,,,,1.0,,,,,1.0,,,1.0,
Tony Boston,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.666666667,0.333333333,0.333333333,1.0,1.0,1.0,1.0,,,,,,,0.666666667,0.0,0.0,0.0,0.666666667,0.833333333,,0.833333333,0.5,0.833333333,0.5,,,,1.0,,,,,,,1.0,
Will Miles,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.833333333,0.833333333,0.833333333,0.833333333,1.0,0.833333333,0.833333333,0.833333333,1.0,,,0.166666667,,0.666666667,,,0.833333333,,1.0,1.0,1.0,1.0,,,,1.0,
Yogesh Katz,0.833333333,0.833333333,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,,,0.166666667,,1.0,,,,,,,,,,,,,
